17:50:02:466 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:50:02:826 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:50:02:828 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:50:13:160 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:50:13:163 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:50:13:821 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:50:13:831 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
17:50:15:090 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
17:58:25:150 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:58:36:893 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:58:36:896 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:58:37:275 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:58:37:276 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:58:47:782 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:58:47:786 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:58:48:343 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:58:48:350 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
17:58:49:488 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
17:59:02:286 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:59:14:301 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:59:14:303 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:59:14:668 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:59:14:669 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:59:24:730 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:59:24:732 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:59:25:337 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:59:25:339 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
17:59:26:974 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
18:02:49:966 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
18:03:02:989 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
18:03:02:992 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
18:03:03:331 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
18:03:03:337 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
18:03:13:769 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
18:03:13:773 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
18:03:14:339 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
18:03:14:352 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
18:03:15:938 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
18:03:29:356 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
18:03:34:779 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
18:03:34:781 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
18:03:34:800 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
18:03:34:801 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
18:03:41:717 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
18:03:41:718 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
18:05:58:816 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
18:06:11:243 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
18:06:11:248 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
18:06:11:619 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
18:06:11:625 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
18:06:17:819 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
18:06:17:827 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
18:06:18:432 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
18:06:18:442 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
18:06:20:106 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
18:06:33:182 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
18:06:45:746 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
18:06:45:748 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
18:06:46:078 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
18:06:46:081 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
18:06:56:349 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
18:06:56:351 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
18:06:56:894 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
18:06:56:896 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
18:06:58:469 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
18:12:33:643 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
18:12:39:528 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
18:12:39:535 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
18:12:39:934 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
18:12:39:943 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
18:12:50:099 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
18:12:50:104 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
18:12:50:699 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
18:12:50:717 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
18:12:51:814 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
18:13:03:981 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
18:13:16:305 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
18:13:16:307 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
18:13:16:585 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
18:13:16:588 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
18:13:26:878 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
18:13:26:880 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
18:13:27:479 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
18:13:27:481 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
18:13:28:530 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
